,Unnamed: 0.1,Unnamed: 0,DEF_TEAM,OPP_CODE,YEAR,WEEK,SCORE_OPP,PASSING_CMP,PASSING_ATT,PASSING_YDS,PASSING_TD,PASSING_INT,PASSING_SK,PASSING_Y_A,PASSING_NY_A,PASSING_CMP_PCT,PASSING_RATE,RUSHING_ATT,RUSHING_YDS,RUSHING_Y_A,RUSHING_TD
212,212,4,TEN,BUF,2018,5.0,13.0,10.0,20.0,79.0,0.0,1.0,1.0,4.1,3.8,50.0,39.4,43.0,144.0,3.3,1.0
213,213,5,TEN,BAL,2018,6.0,21.0,25.0,37.0,238.0,1.0,1.0,0.0,6.4,6.4,67.6,82.9,35.0,123.0,3.5,2.0
214,214,6,TEN,LAC,2018,7.0,20.0,19.0,26.0,297.0,2.0,0.0,2.0,11.8,10.6,73.1,136.2,16.0,47.0,2.9,0.0
215,215,7,TEN,DAL,2018,9.0,14.0,21.0,32.0,225.0,2.0,1.0,5.0,7.6,6.1,65.6,93.9,19.0,72.0,3.8,0.0
216,216,8,TEN,NWE,2018,10.0,10.0,23.0,43.0,244.0,0.0,0.0,3.0,6.2,5.3,53.5,70.3,19.0,40.0,2.1,1.0
217,217,9,TEN,IND,2018,11.0,38.0,24.0,32.0,295.0,3.0,0.0,0.0,9.2,9.2,75.0,134.2,28.0,102.0,3.6,2.0
218,218,10,TEN,HOU,2018,12.0,34.0,19.0,24.0,181.0,2.0,0.0,4.0,8.8,6.5,79.2,125.9,34.0,281.0,8.3,2.0
219,219,11,TEN,NYJ,2018,13.0,22.0,17.0,30.0,124.0,0.0,1.0,2.0,4.3,3.9,56.7,52.6,33.0,156.0,4.7,0.0
220,220,12,TEN,JAX,2018,14.0,9.0,25.0,43.0,195.0,1.0,0.0,4.0,5.6,4.1,58.1,77.2,20.0,60.0,3.0,0.0
221,221,13,TEN,NYG,2018,15.0,0.0,21.0,44.0,213.0,0.0,1.0,3.0,5.2,4.5,47.7,52.6,16.0,47.0,2.9,0.0
222,222,14,TEN,WAS,2018,16.0,16.0,13.0,23.0,131.0,1.0,2.0,2.0,6.7,5.2,56.5,51.2,34.0,161.0,4.7,0.0
223,223,15,TEN,IND,2018,17.0,33.0,24.0,35.0,278.0,3.0,1.0,1.0,8.1,7.7,68.6,109.0,36.0,158.0,4.4,1.0
224,224,0,CIN,IND,2018,1.0,23.0,39.0,53.0,305.0,2.0,1.0,2.0,6.0,5.5,73.6,92.1,22.0,75.0,3.4,0.0
225,225,1,CIN,BAL,2018,2.0,23.0,32.0,55.0,359.0,2.0,2.0,4.0,6.8,6.1,58.2,74.7,22.0,66.0,3.0,1.0
226,226,2,CIN,CAR,2018,3.0,31.0,15.0,24.0,147.0,2.0,0.0,1.0,6.3,5.9,62.5,107.5,41.0,230.0,5.6,2.0
227,227,3,CIN,ATL,2018,4.0,36.0,29.0,39.0,403.0,3.0,0.0,3.0,10.7,9.6,74.4,132.7,24.0,92.0,3.8,1.0
228,228,4,CIN,MIA,2018,5.0,17.0,20.0,35.0,169.0,1.0,2.0,3.0,5.3,4.4,57.1,55.5,22.0,128.0,5.8,0.0
229,229,5,CIN,PIT,2018,6.0,28.0,32.0,46.0,369.0,1.0,0.0,0.0,8.0,8.0,69.6,100.7,21.0,112.0,5.3,2.0
230,230,6,CIN,KAN,2018,7.0,45.0,28.0,39.0,353.0,4.0,1.0,2.0,9.2,8.6,71.8,123.1,29.0,198.0,6.8,1.0
231,231,7,CIN,TAM,2018,8.0,34.0,29.0,50.0,450.0,3.0,4.0,6.0,9.4,8.0,58.0,74.6,27.0,126.0,4.7,1.0
232,232,8,CIN,NOR,2018,10.0,51.0,22.0,27.0,265.0,3.0,0.0,0.0,9.8,9.8,81.5,144.6,47.0,244.0,5.2,3.0
233,233,9,CIN,BAL,2018,11.0,24.0,13.0,19.0,136.0,0.0,1.0,3.0,7.9,6.2,68.4,67.0,53.0,267.0,5.0,2.0
234,234,10,CIN,CLE,2018,12.0,35.0,19.0,26.0,258.0,4.0,0.0,0.0,9.9,9.9,73.1,143.9,35.0,84.0,2.4,1.0
235,235,11,CIN,DEN,2018,13.0,24.0,12.0,21.0,143.0,1.0,0.0,2.0,7.2,6.2,57.1,93.9,34.0,218.0,6.4,2.0
236,236,12,CIN,LAC,2018,14.0,26.0,19.0,29.0,203.0,1.0,0.0,2.0,7.6,6.5,65.5,97.3,25.0,85.0,3.4,1.0
237,237,13,CIN,LVR,2018,15.0,16.0,21.0,38.0,229.0,1.0,0.0,5.0,6.9,5.3,55.3,82.0,16.0,68.0,4.3,0.0
238,238,14,CIN,CLE,2018,16.0,26.0,28.0,38.0,347.0,3.0,0.0,0.0,9.1,9.1,73.7,127.9,28.0,146.0,5.2,0.0
239,239,15,CIN,PIT,2018,17.0,16.0,31.0,45.0,278.0,1.0,1.0,1.0,6.4,6.0,68.9,83.4,20.0,65.0,3.3,0.0
240,240,0,GNB,CHI,2018,1.0,23.0,23.0,35.0,155.0,0.0,0.0,4.0,4.9,4.0,65.7,75.3,27.0,139.0,5.1,1.0
241,241,1,GNB,MIN,2018,2.0,29.0,35.0,48.0,412.0,4.0,1.0,2.0,8.9,8.2,72.9,117.7,18.0,68.0,3.8,0.0
242,242,2,GNB,WAS,2018,3.0,31.0,12.0,20.0,220.0,2.0,1.0,0.0,11.0,11.0,60.0,110.4,35.0,166.0,4.7,2.0
